vgs (L=4.5e-08) X,vgs (L=4.5e-08) Y,vgs (L=9e-08) X,vgs (L=9e-08) Y,vgs (L=1.35e-07) X,vgs (L=1.35e-07) Y,vgs (L=1e-06) X,vgs (L=1e-06) Y
1e-09,0.2127060968175656,1e-09,0.1998641544085768,1e-09,0.1881706758952529,1e-09,0.1616811909788571
1.011062845513914e-09,0.2130930848008989,1.011062845513914e-09,0.2002213789059098,1.011062845513914e-09,0.188523505935208,1.011062845513914e-09,0.1620495254135378
1.022248077578692e-09,0.2134801709900964,1.022248077578692e-09,0.2005787080407132,1.022248077578692e-09,0.1888764470757435,1.022248077578692e-09,0.1624180950810425
1.03355705013784e-09,0.2138673560553435,1.03355705013784e-09,0.2009361425112505,1.03355705013784e-09,0.1892295000438184,1.03355705013784e-09,0.1627869012325161
1.044991132113332e-09,0.2142546406090933,1.044991132113332e-09,0.2012936829634883,1.044991132113332e-09,0.1895826655151846,1.044991132113332e-09,0.1631559450710816
1.056551707571311e-09,0.2146420252666095,1.056551707571311e-09,0.2016513300463711,1.056551707571311e-09,0.1899359441686556,1.056551707571311e-09,0.163525227803461
1.068240175889634e-09,0.2150295106459955,1.068240175889634e-09,0.2020090844118505,1.068240175889634e-09,0.1902893366861237,1.068240175889634e-09,0.1638947506399769
1.080057951927257e-09,0.2154170973682131,1.080057951927257e-09,0.2023669467149046,1.080057951927257e-09,0.1906428437525877,1.080057951927257e-09,0.1642645147945451
1.092006466195503e-09,0.2158047860571119,1.092006466195503e-09,0.2027249176135679,1.092006466195503e-09,0.1909964660561743,1.092006466195503e-09,0.1646345214846785
1.104087165031218e-09,0.2161925773394566,1.104087165031218e-09,0.203082997768954,1.104087165031218e-09,0.1913502042881643,1.104087165031218e-09,0.1650047719314821
1.116301510771854e-09,0.2165804718449506,1.116301510771854e-09,0.2034411878452766,1.116301510771854e-09,0.1917040591430121,1.116301510771854e-09,0.1653752673596467
1.128650981932471e-09,0.2169684702062648,1.128650981932471e-09,0.2037994885098808,1.128650981932471e-09,0.1920580313183738,1.128650981932471e-09,0.1657460089974494
1.141137073384717e-09,0.2173565730590605,1.141137073384717e-09,0.2041579004332641,1.141137073384717e-09,0.1924121215151273,1.141137073384717e-09,0.1661169980767484
1.153761296537772e-09,0.2177447810420143,1.153761296537772e-09,0.2045164242891023,1.153761296537772e-09,0.1927663304373994,1.153761296537772e-09,0.1664882358329776
1.166525179521302e-09,0.2181330947968518,1.166525179521302e-09,0.2048750607542742,1.166525179521302e-09,0.1931206587925871,1.166525179521302e-09,0.1668597235051439
1.179430267370436e-09,0.2185215149683641,1.179430267370436e-09,0.2052338105088843,1.179430267370436e-09,0.1934751072913794,1.179430267370436e-09,0.1672314623358226
1.192478122212789e-09,0.218910042204442,1.192478122212789e-09,0.2055926742362931,1.192478122212789e-09,0.1938296766477874,1.192478122212789e-09,0.1676034535711473
1.205670323457551e-09,0.219298677156095,1.205670323457551e-09,0.2059516526231359,1.205670323457551e-09,0.19418436757916,1.205670323457551e-09,0.1679756984608107
1.219008467986672e-09,0.2196874204774852,1.219008467986672e-09,0.2063107463593551,1.219008467986672e-09,0.1945391808062128,1.219008467986672e-09,0.1683481982580552
1.232494170348162e-09,0.220076272825947,1.232494170348162e-09,0.2066699561382134,1.232494170348162e-09,0.1948941170530505,1.232494170348162e-09,0.1687209542196642
1.246129062951523e-09,0.220465234862018,1.246129062951523e-09,0.207029282656333,1.246129062951523e-09,0.1952491770471913,1.246129062951523e-09,0.1690939676059603
1.259914796265353e-09,0.2208543072494637,1.259914796265353e-09,0.2073887266137113,1.259914796265353e-09,0.1956043615195871,1.259914796265353e-09,0.1694672396807944
1.273853039017131e-09,0.2212434906553018,1.273853039017131e-09,0.2077482887137465,1.273853039017131e-09,0.1959596712046512,1.273853039017131e-09,0.1698407717115383
1.287945478395207e-09,0.2216327857498336,1.287945478395207e-09,0.2081079696632686,1.287945478395207e-09,0.1963151068402796,1.287945478395207e-09,0.1702145649690783
1.302193820253037e-09,0.2220221932066677,1.302193820253037e-09,0.2084677701725571,1.302193820253037e-09,0.1966706691678761,1.302193820253037e-09,0.1705886207278065
1.316599789315669e-09,0.2224117137027452,1.316599789315669e-09,0.2088276909553729,1.316599789315669e-09,0.1970263589323742,1.316599789315669e-09,0.1709629402656103
1.33116512938852e-09,0.2228013479183713,1.33116512938852e-09,0.2091877327289769,1.33116512938852e-09,0.1973821768822624,1.33116512938852e-09,0.1713375248638665
1.345891603568454e-09,0.2231910965372345,1.345891603568454e-09,0.2095478962141612,1.345891603568454e-09,0.1977381237696069,1.345891603568454e-09,0.1717123758074261
1.360780994457205e-09,0.2235809602464415,1.360780994457205e-09,0.2099081821352716,1.360780994457205e-09,0.198094200350075,1.360780994457205e-09,0.1720874943846143
1.375835104377155e-09,0.2239709397365386,1.375835104377155e-09,0.2102685912202307,1.375835104377155e-09,0.1984504073829598,1.375835104377155e-09,0.1724628818872085
1.391055755589499e-09,0.2243610357015421,1.391055755589499e-09,0.2106291242005685,1.391055755589499e-09,0.1988067456312017,1.391055755589499e-09,0.1728385396104361
1.406444790514826e-09,0.2247512488389621,1.406444790514826e-09,0.2109897818114417,1.406444790514826e-09,0.1991632158614156,1.406444790514826e-09,0.1732144688529614
1.42200407195614e-09,0.2251415798498317,1.42200407195614e-09,0.2113505647916655,1.42200407195614e-09,0.199519818843911,1.42200407195614e-09,0.1735906709168711
