cross(db(iout) 0) X,cross(db(iout) 0) Y
3.846624e-09,114014490.7649665
4.814964e-09,306453152.5602215
6.027071e-09,464779244.6819147
7.544312e-09,628720265.2587239
9.443498000000001e-09,815893567.7668613
1.182078e-08,1030906424.039703
1.479652e-08,1280284091.731099
1.852136e-08,1573613463.612327
2.318388e-08,1927263859.019016
2.902013e-08,2344541532.189472
3.632559e-08,2832993489.848094
4.54701e-08,3398743852.396317
5.691664e-08,4045241527.798271
7.124469e-08,4831288152.511125
8.917966000000001e-08,5756165639.731568
1.116295e-07,6810372277.038874
1.397309e-07,7995603018.262377
1.749064e-07,9476311477.922346
2.189369e-07,11189593523.91322
2.740516e-07,13140256828.43483
3.430406e-07,15462367974.50816
4.293968e-07,18315844304.83001
5.374922e-07,21619694110.79348
6.727991e-07,25415022592.08722
8.42168e-07,30162850920.80136
1.054173e-06,35753214756.46626
1.319548e-06,42148336920.64998
1.651728e-06,49490649623.46895
2.06753e-06,58436647626.16293
2.588005e-06,68338517436.33537
3.239504e-06,78990225914.65399
4.055008e-06,91736860834.4606
5.075806e-06,104749851247.585
6.353578e-06,118822224860.9358
7.953011999999999e-06,133130637274.3279
9.955084e-06,147540161904.9474
1.246115e-05,160396308233.7989
1.559809e-05,173676620082.134
1.952472e-05,184208271670.6655
2.443982e-05,191945842242.4334
3.059225e-05,196829197337.0854
3.829347e-05,198733657414.417
4.793337e-05,197343232858.872
6e-05,195476666625.0174
