VS("/Vgs") X,VS("/Vgs") Y,Cgs X,Cgs Y,Cgd X,Cgd Y,Cgb X,Cgb Y
1e-09,0.2031433037485673,1e-09,1.855373563250979e-17,1e-09,1.729673220778844e-17,1e-09,9.303887101388733e-18
1.258925411794167e-09,0.2112440758795354,1.258925411794167e-09,1.864972982039796e-17,1.258925411794167e-09,1.730113662642844e-17,1.258925411794167e-09,9.237652048104148e-18
1.584893192461114e-09,0.2193742800574978,1.584893192461114e-09,1.87632523345198e-17,1.584893192461114e-09,1.730556414601617e-17,1.584893192461114e-09,9.169243437925432e-18
1.99526231496888e-09,0.2275536248466019,1.99526231496888e-09,1.889696337711347e-17,1.99526231496888e-09,1.7310019082565e-17,1.99526231496888e-09,9.098109028664901e-18
2.511886431509581e-09,0.2357887670273462,2.511886431509581e-09,1.905367134225085e-17,2.511886431509581e-09,1.731449788617599e-17,2.511886431509581e-09,9.023761076568516e-18
3.16227766016838e-09,0.2440871880485682,3.16227766016838e-09,1.923651533261227e-17,3.16227766016838e-09,1.731899661287815e-17,3.16227766016838e-09,8.945660267247716e-18
3.981071705534974e-09,0.2524572244649077,3.981071705534974e-09,1.944899961849169e-17,3.981071705534974e-09,1.732351087494032e-17,3.981071705534974e-09,8.863211139764406e-18
5.011872336272725e-09,0.2609081982644124,5.011872336272725e-09,1.96950335000356e-17,5.011872336272725e-09,1.732803584366893e-17,5.011872336272725e-09,8.775756250223053e-18
6.309573444801935e-09,0.2694505523527655,6.309573444801935e-09,1.997897571029929e-17,6.309573444801935e-09,1.733256625391975e-17,6.309573444801935e-09,8.682569835878141e-18
7.943282347242819e-09,0.278095990890006,7.943282347242819e-09,2.030568353683138e-17,7.943282347242819e-09,1.733709641215446e-17,7.943282347242819e-09,8.582850992978004e-18
1.000000000000001e-08,0.2868576218672248,1.000000000000001e-08,2.068056642665734e-17,1.000000000000001e-08,1.73416202102647e-17,1.000000000000001e-08,8.475716467488006e-18
1.258925411794168e-08,0.2957500969710589,1.258925411794168e-08,2.110964312154258e-17,1.258925411794168e-08,1.734613114905294e-17,1.258925411794168e-08,8.360193290527606e-18
1.584893192461115e-08,0.3047897405085739,1.584893192461115e-08,2.15996001769617e-17,1.584893192461115e-08,1.73506223778173e-17,1.584893192461115e-08,8.23521169998582e-18
1.995262314968881e-08,0.31399465468049,1.995262314968881e-08,2.215784783337683e-17,1.995262314968881e-08,1.73550867606854e-17,1.995262314968881e-08,8.099599108222122e-18
2.511886431509582e-08,0.3233847825478147,2.511886431509582e-08,2.279256636044307e-17,2.511886431509582e-08,1.735951698669179e-17,2.511886431509582e-08,7.952076341139438e-18
3.162277660168382e-08,0.332981902538589,3.162277660168382e-08,2.351273188065699e-17,3.162277660168382e-08,1.736390574994587e-17,3.162277660168382e-08,7.791258025143139e-18
3.981071705534977e-08,0.3428095195791552,3.981071705534977e-08,2.432810504136059e-17,3.981071705534977e-08,1.736824603931732e-17,3.981071705534977e-08,7.615659860949397e-18
