gm (L=4.5e-08) X,gm (L=4.5e-08) YRe,gm (L=4.5e-08) YReImag,gm (L=9e-08) X,gm (L=9e-08) YRe,gm (L=9e-08) YReImag,gm (L=1.35e-07) X,gm (L=1.35e-07) YRe,gm (L=1.35e-07) YReImag,gm (L=1e-06) X,gm (L=1e-06) YRe,gm (L=1e-06) YReImag
1.116301510771854e-09,3.165156631764763e-08,-1.107083134746434e-10,1.116301510771854e-09,3.427737483794665e-08,-1.106382181439142e-10,1.116301510771854e-09,3.469767696513348e-08,-1.106096628067736e-10,1.116301510771854e-09,3.31361998952852e-08,-1.133753739080191e-10
1.128650981932471e-09,3.199311900014566e-08,-1.107115768916837e-10,1.128650981932471e-09,3.464584167092421e-08,-1.106413659920611e-10,1.128650981932471e-09,3.506986130565563e-08,-1.106130438286752e-10,1.128650981932471e-09,3.348047641977751e-08,-1.133915453165346e-10
1.141137073384717e-09,3.233830663296938e-08,-1.107148446359679e-10,1.141137073384717e-09,3.501820706403313e-08,-1.106445188514578e-10,1.141137073384717e-09,3.544597148509231e-08,-1.106164313215432e-10,1.141137073384717e-09,3.382823243066003e-08,-1.134077677776175e-10
1.153761296537772e-09,3.268716713290886e-08,-1.107181167203455e-10,1.153761296537772e-09,3.539451133103567e-08,-1.106476767397212e-10,1.153761296537772e-09,3.582604792904022e-08,-1.106198253082532e-10,1.153761296537772e-09,3.417950193330271e-08,-1.134240414326528e-10
1.166525179521302e-09,3.30397387998187e-08,-1.10721393157727e-10,1.166525179521302e-09,3.577479518780715e-08,-1.106508396745484e-10,1.166525179521302e-09,3.621013146416678e-08,-1.106232258117712e-10,1.166525179521302e-09,3.453431925386454e-08,-1.134403664234529e-10
1.179430267370436e-09,3.33960603203077e-08,-1.107246739610832e-10,1.179430267370436e-09,3.61590997561171e-08,-1.10654007673717e-10,1.179430267370436e-09,3.659826332198386e-08,-1.106266328551541e-10,1.179430267370436e-09,3.489271904221241e-08,-1.134567428922457e-10
1.192478122212789e-09,3.375617077142663e-08,-1.107279591434464e-10,1.192478122212789e-09,3.654746656745081e-08,-1.106571807550853e-10,1.192478122212789e-09,3.69904851426053e-08,-1.106300464615497e-10,1.192478122212789e-09,3.525473627498998e-08,-1.134731709816897e-10
1.205670323457551e-09,3.412010962441903e-08,-1.107312487179108e-10,1.205670323457551e-09,3.6939937566854e-08,-1.106603589365934e-10,1.205670323457551e-09,3.738683897860637e-08,-1.106334666541978e-10,1.205670323457551e-09,3.562040625857233e-08,-1.13489650834867e-10
1.219008467986672e-09,3.448791674847692e-08,-1.107345426976325e-10,1.219008467986672e-09,3.733655511682016e-08,-1.106635422362628e-10,1.219008467986672e-09,3.778736729884383e-08,-1.106368934564306e-10,1.219008467986672e-09,3.598976463219539e-08,-1.135061825952918e-10
1.232494170348162e-09,3.485963241455859e-08,-1.107378410958302e-10,1.232494170348162e-09,3.773736200120863e-08,-1.106667306721978e-10,1.232494170348162e-09,3.819211299235357e-08,-1.106403268916729e-10,1.232494170348162e-09,3.636284737100247e-08,-1.135227664069067e-10
1.246129062951523e-09,3.523529729920776e-08,-1.107411439257858e-10,1.246129062951523e-09,3.814240142918721e-08,-1.106699242625855e-10,1.246129062951523e-09,3.860111937226721e-08,-1.106437669834427e-10,1.246129062951523e-09,3.673969078916187e-08,-1.135394024140891e-10
1.259914796265353e-09,3.561495248843709e-08,-1.107444512008445e-10,1.259914796265353e-09,3.855171703921873e-08,-1.106731230256964e-10,1.259914796265353e-09,3.901443017977163e-08,-1.106472137553522e-10,1.259914796265353e-09,3.712033154306568e-08,-1.135560907616481e-10
1.273853039017131e-09,3.5998639481624e-08,-1.107477629344156e-10,1.273853039017131e-09,3.896535290308399e-08,-1.106763269798851e-10,1.273853039017131e-09,3.943208958807713e-08,-1.106506672311078e-10,1.273853039017131e-09,3.750480663439909e-08,-1.135728315948343e-10
1.287945478395207e-09,3.638640019544351e-08,-1.107510791399726e-10,1.287945478395207e-09,3.938335352991893e-08,-1.106795361435904e-10,1.287945478395207e-09,3.985414220644976e-08,-1.106541274345107e-10,1.287945478395207e-09,3.789315341350583e-08,-1.135896250593318e-10
1.302193820253037e-09,3.677827696784431e-08,-1.107543998310538e-10,1.302193820253037e-09,3.980576387031383e-08,-1.106827505353362e-10,1.302193820253037e-09,4.028063308426082e-08,-1.106575943894577e-10,1.302193820253037e-09,3.828540958247613e-08,-1.13606471301266e-10
1.316599789315669e-09,3.717431256205321e-08,-1.107577250212629e-10,1.316599789315669e-09,4.023262932042588e-08,-1.106859701737318e-10,1.316599789315669e-09,4.071160771507418e-08,-1.106610681199415e-10,1.316599789315669e-09,3.868161319852245e-08,-1.136233704672074e-10
1.33116512938852e-09,3.757455017060861e-08,-1.107610547242692e-10,1.33116512938852e-09,4.066399572612919e-08,-1.106891950774727e-10,1.33116512938852e-09,4.114711204076683e-08,-1.106645486500515e-10,1.33116512938852e-09,3.908180267724019e-08,-1.136403227041673e-10
