cross(db(iout) 0) X,cross(db(iout) 0) Y
3.846624e-09,142616465.6166396
4.814964e-09,263871531.6779472
6.027071e-09,374838652.4684151
7.544312e-09,491013087.7892401
9.443498000000001e-09,620154895.1225499
1.182078e-08,767783033.3962131
1.479652e-08,937996789.7396281
1.852136e-08,1133976623.209631
2.318388e-08,1357865341.784166
2.902013e-08,1610521231.375813
3.632559e-08,1914258186.816161
4.54701e-08,2267049632.491728
5.691664e-08,2663997649.923041
7.124469e-08,3116578980.94127
8.917966000000001e-08,3670377273.77969
1.116295e-07,4295026097.410932
1.397309e-07,4996003747.577497
1.749064e-07,5879311042.579776
2.189369e-07,6886538405.603612
2.740516e-07,8025201891.605597
3.430406e-07,9449964735.691483
4.293968e-07,11106984036.68309
5.374922e-07,12987195830.68865
6.727991e-07,15246992375.53166
8.42168e-07,17913750026.65783
1.054173e-06,20881362213.6707
1.319548e-06,24302125613.01406
1.651728e-06,28276128645.90969
2.06753e-06,32472217826.45522
2.588005e-06,37310845411.65069
3.239504e-06,42415825552.6398
4.055008e-06,47792905913.53633
5.075806e-06,53452295100.12416
6.353578e-06,59164160624.48415
7.953011999999999e-06,64606541358.79843
9.955084e-06,70328086992.47037
1.246115e-05,75254039574.19083
1.559809e-05,79354105195.03186
1.952472e-05,83401715426.65707
2.443982e-05,86181527246.72467
3.059225e-05,87361267982.36526
3.829347e-05,86311443646.22969
4.793337e-05,85006608025.13214
6e-05,85006608025.13216
