VS("/Vgs") X,VS("/Vgs") Y,Cgs X,Cgs Y,Cgd X,Cgd Y,Cgb X,Cgb Y
1.995262314968882e-07,0.4600795821162877,1.995262314968882e-07,3.793570115171109e-17,1.995262314968882e-07,1.767232519874002e-17,1.995262314968882e-07,5.748014771080523e-18
2.511886431509584e-07,0.4733757509384028,2.511886431509584e-07,4.018011778422548e-17,2.511886431509584e-07,1.759389868292595e-17,2.511886431509584e-07,5.447285419788906e-18
3.162277660168384e-07,0.4870373233951463,3.162277660168384e-07,4.254902585775178e-17,3.162277660168384e-07,1.751119640742485e-17,3.162277660168384e-07,5.135373540412879e-18
3.981071705534979e-07,0.5010523451914067,3.981071705534979e-07,4.501968173541811e-17,3.981071705534979e-07,1.742527012266988e-17,3.981071705534979e-07,4.815292019159259e-18
5.011872336272731e-07,0.5154130736419895,5.011872336272731e-07,4.756569778822985e-17,5.011872336272731e-07,1.733735463165249e-17,5.011872336272731e-07,4.490354827526329e-18
6.309573444801943e-07,0.5301210576381978,6.309573444801943e-07,5.015894961596334e-17,6.309573444801943e-07,1.724880453967673e-17,6.309573444801943e-07,4.163933362276541e-18
7.943282347242829e-07,0.5451922125994085,7.943282347242829e-07,5.2771547184084e-17,7.943282347242829e-07,1.716103248473423e-17,7.943282347242829e-07,3.839221526518517e-18
1.000000000000002e-06,0.5606615711418806,1.000000000000002e-06,5.537751844355273e-17,1.000000000000002e-06,1.707546488364443e-17,1.000000000000002e-06,3.519048482431006e-18
1.25892541179417e-06,0.5765877097448406,1.25892541179417e-06,5.7953966244361e-17,1.25892541179417e-06,1.699352810162866e-17,1.25892541179417e-06,3.205761413062685e-18
1.584893192461117e-06,0.5930571888944772,1.584893192461117e-06,6.0481611742056e-17,1.584893192461117e-06,1.691667396735846e-17,1.584893192461117e-06,2.901181289463313e-18
1.995262314968884e-06,0.6101896352007491,1.995262314968884e-06,6.294476752329029e-17,1.995262314968884e-06,1.684645180046425e-17,1.995262314968884e-06,2.606619599412137e-18
2.511886431509586e-06,0.6281443444477544,2.511886431509586e-06,6.533085690667187e-17,2.511886431509586e-06,1.67846371679063e-17,2.511886431509586e-06,2.322936257678232e-18
3.162277660168386e-06,0.6471295665358314,3.162277660168386e-06,6.762961039105805e-17,3.162277660168386e-06,1.673343791322754e-17,3.162277660168386e-06,2.050617480574387e-18
3.981071705534982e-06,0.6674160818246354,3.981071705534982e-06,6.983204327012404e-17,3.981071705534982e-06,1.669581988235192e-17,3.981071705534982e-06,1.789854044126429e-18
5.011872336272735e-06,0.6893575319319817,5.011872336272735e-06,7.192926971847552e-17,5.011872336272735e-06,1.667603826437701e-17,5.011872336272735e-06,1.540601209482932e-18
6.309573444801948e-06,0.7134217212596071,6.309573444801948e-06,7.391114683909975e-17,6.309573444801948e-06,1.66805504348838e-17,6.309573444801948e-06,1.30259759861873e-18
7.943282347242835e-06,0.7402409219561448,7.943282347242835e-06,7.57646462100413e-17,7.943282347242835e-06,1.67196856814153e-17,7.943282347242835e-06,1.075306163593892e-18
1.000000000000003e-05,0.7706978203414518,1.000000000000003e-05,7.747160895261382e-17,1.000000000000003e-05,1.681092208739089e-17,1.000000000000003e-05,8.577083352904443e-19
1.258925411794171e-05,0.8060821137975624,1.258925411794171e-05,7.900473755325246e-17,1.258925411794171e-05,1.698581694702177e-17,1.258925411794171e-05,6.478248052869105e-19
1.584893192461118e-05,0.8483822919947671,1.584893192461118e-05,8.031805125500538e-17,1.584893192461118e-05,1.730576022079241e-17,1.584893192461118e-05,4.417539531255508e-19
1.995262314968885e-05,0.9007980161953458,1.995262314968885e-05,8.13221870446407e-17,1.995262314968885e-05,1.79013572704063e-17,1.995262314968885e-05,2.315091544196539e-19
2.511886431509587e-05,0.9685977674028265,2.511886431509587e-05,8.181065553503469e-17,2.511886431509587e-05,1.906333101045959e-17,2.511886431509587e-05,2.608541252645748e-21
3.162277660168388e-05,1.060839240431011,3.162277660168388e-05,8.130972004830834e-17,3.162277660168388e-05,2.148003428117736e-17,3.162277660168388e-05,-2.775699278822262e-19
3.981071705534984e-05,1.1,3.981071705534984e-05,8.076184654255124e-17,3.981071705534984e-05,2.279195399464682e-17,3.981071705534984e-05,-3.922619419758908e-19
5.011872336272738e-05,1.1,5.011872336272738e-05,8.076184654255124e-17,5.011872336272738e-05,2.279195399464682e-17,5.011872336272738e-05,-3.922619419758908e-19
6e-05,1.1,6e-05,8.076184654255124e-17,6e-05,2.279195399464682e-17,6e-05,-3.922619419758908e-19
