av0 (L=4.5e-08) X,av0 (L=4.5e-08) YRe,av0 (L=4.5e-08) YReImag,av0 (L=9e-08) X,av0 (L=9e-08) YRe,av0 (L=9e-08) YReImag,av0 (L=1.35e-07) X,av0 (L=1.35e-07) YRe,av0 (L=1.35e-07) YReImag,av0 (L=1e-06) X,av0 (L=1e-06) YRe,av0 (L=1e-06) YReImag
1.287945478395207e-09,-24.17001523985447,7.826556701521509,1.287945478395207e-09,-29.182769392399,10.83374265400758,1.287945478395207e-09,-30.73157608742587,12.02381964789592,1.287945478395207e-09,-37.1378316220148,21.24520963162665
1.302193820253037e-09,-24.21471448336554,7.755988525675361,1.302193820253037e-09,-29.25249497791673,10.7420532786272,1.302193820253037e-09,-30.81234765798557,11.92508135613431,1.302193820253037e-09,-37.31837258203474,21.12272764148713
1.316599789315669e-09,-24.25850036434466,7.685748207887804,1.316599789315669e-09,-29.32089978287526,10.65061070429761,1.316599789315669e-09,-30.89164162390814,11.82652031858072,1.316599789315669e-09,-37.49661672535209,20.99923074322369
1.33116512938852e-09,-24.30138503322037,7.615843893849265,1.33116512938852e-09,-29.38799758994431,10.55943023590666,1.33116512938852e-09,-30.96947200405284,11.72815547946216,1.33116512938852e-09,-37.67255960226621,20.87476565097915
1.345891603568454e-09,-24.34338030005999,7.546283167979793,1.345891603568454e-09,-29.45380299253669,10.46852726115904,1.345891603568454e-09,-31.04585346562448,11.6300056360007,1.345891603568454e-09,-37.84619778886174,20.74937850202044
1.360780994457205e-09,-24.38449802846078,7.477073343929419,1.360780994457205e-09,-29.51833009584544,10.37791619064414,1.360780994457205e-09,-31.12080020025958,11.53208846783463,1.360780994457205e-09,-38.01752850295112,20.62311429841327
1.375835104377155e-09,-24.42475012988769,7.408221467834271,1.375835104377155e-09,-29.5815931531835,10.28761100791969,1.375835104377155e-09,-31.19432729785102,11.43442175262845,1.375835104377155e-09,-38.18655117882724,20.49601934737473
1.391055755589499e-09,-24.4641482685796,7.339734131877723,1.391055755589499e-09,-29.64360706356688,10.19762566791545,1.391055755589499e-09,-31.26644948761225,11.33702229380285,1.391055755589499e-09,-38.35326513515126,20.3681376816036
1.406444790514826e-09,-24.50270424795715,7.271617743394621,1.406444790514826e-09,-29.70438608798236,10.1079730992957,1.406444790514826e-09,-31.3371820926976,11.23990675035715,1.406444790514826e-09,-38.51767132832002,20.23951377072712
1.42200407195614e-09,-24.54042981198035,7.203878400182417,1.42200407195614e-09,-29.76394498734529,10.01866611653263,1.42200407195614e-09,-31.40653978211691,11.14309061973151,1.42200407195614e-09,-38.67977161648963,20.1101914099125
1.437735483324347e-09,-24.57733673771715,7.136521959091308,1.437735483324347e-09,-29.82229850408811,9.929717025466633,1.437735483324347e-09,-31.47453834283802,11.04658971020486,1.437735483324347e-09,-38.83956928307611,19.98021447910798
1.453640928866236e-09,-24.61343654738143,7.069553862877147,1.453640928866236e-09,-29.87946110561848,9.84113745294338,1.453640928866236e-09,-31.54119288812723,10.9504186940217,1.453640928866236e-09,-38.99706791376137,19.84962537090723
1.469722333894986e-09,-24.64874069951635,7.002979274894583,1.469722333894986e-09,-29.93544785420314,9.752939007490998,1.469722333894986e-09,-31.60651894257403,10.8545920069852,1.469722333894986e-09,-39.15227265426913,19.7184667787942
1.485981645023214e-09,-24.6832606805772,6.936803143655268,1.485981645023214e-09,-29.99027327317539,9.665132454349576,1.485981645023214e-09,-31.6705321573057,10.75912362928017,1.485981645023214e-09,-39.30518908008012,19.58678014989184
1.502420830398618e-09,-24.71700809324366,6.87103026084738,1.502420830398618e-09,-30.04395196885579,9.577728195395869,1.502420830398618e-09,-31.73324789693642,10.6640267873669,1.502420830398618e-09,-39.45582390932572,19.4546066847623
1.519041879942203e-09,-24.74999400461766,6.805664877447327,1.519041879942203e-09,-30.09649911356293,9.49073661543164,1.519041879942203e-09,-31.79468230720289,10.56931478159053,1.519041879942203e-09,-39.60418460626523,19.32198682229436
1.535846805589169e-09,-24.78222987451238,6.74071127163107,1.535846805589169e-09,-30.14792920537765,9.404167216571734,1.535846805589169e-09,-31.85485042781811,10.47499957994913,1.535846805589169e-09,-39.75027991980592,19.1889609467901
